[t,Sku,Regular Price,Stock,Image URL,On Ebay,Group,Person Name,C:Team,C:League
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0422),AidraF1302018RY0422,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0422.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,10,Aidra Fox,tsrc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0423),AidraF1302018RY0423,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0423.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,11,Aidra Fox,tsrbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0424),AidraF1302018RY0424,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0424.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,11,Aidra Fox,tsrbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0425),AidraF1302018RY0425,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0425.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,11,Aidra Fox,tsrbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0426),AidraF1302018RY0426,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0426.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,11,Aidra Fox,tsrbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0427),AidraF1302018RY0427,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0427.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,12,Aidra Fox,tsxc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0428),AidraF1302018RY0428,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0428.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,12,Aidra Fox,tsxc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0429),AidraF1302018RY0429,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0429.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,12,Aidra Fox,tsxc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0430),AidraF1302018RY0430,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0430.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,12,Aidra Fox,tsxc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0432),AidraF1302018RY0432,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0432.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,13,Aidra Fox,tsrc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0433),AidraF1302018RY0433,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0433.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,13,Aidra Fox,tsrc3,
